Roll,Name,Email,Branch
1401CH47,Sachin,Sachin@mycollege.in,CH
1401CH48,Anupam,Anupam@mycollege.in,CH
1401CH49,Shailesh,Shailesh@mycollege.in,CH
1401CH50,Shoaib,Shoaib@mycollege.in,CH
1401CH51,Vishnu,Vishnu@mycollege.in,CH
1401CH52,Surya,Surya@mycollege.in,CH
1401CH53,Pankaj,Pankaj@mycollege.in,CH
1401CH54,Kaif,Kaif@mycollege.in,CH
1401CH55,Pooja,Pooja@mycollege.in,CH
1401CH56,Gayathri,Gayathri@mycollege.in,CH
1401CH57,Pradeep,Pradeep@mycollege.in,CH
1401CH58,Ritu,Ritu@mycollege.in,CH
1401CH59,Dinesh,Dinesh@mycollege.in,CH
1401CH60,Shriya,Shriya@mycollege.in,CH
1401CH61,Tharun,Tharun@mycollege.in,CH
1401CH62,Karan,Karan@mycollege.in,CH
1401CH63,Kiran,Kiran@mycollege.in,CH
1401CH64,Tarun,Tarun@mycollege.in,CH
1401CH65,Samarth,Samarth@mycollege.in,CH
1401CH66,Ruchi,Ruchi@mycollege.in,CH
1401CH67,Udit,Udit@mycollege.in,CH
1401CH68,Rashi,Rashi@mycollege.in,CH
1401CH69,Shailendra,Shailendra@mycollege.in,CH
1401CH70,Sameer,Sameer@mycollege.in,CH
1401CH71,Shubhi,Shubhi@mycollege.in,CH
1401CH72,Siddhant,Siddhant@mycollege.in,CH
1401CH73,Mahi,Mahi@mycollege.in,CH
1401CH74,Kanika,Kanika@mycollege.in,CH
1401CH75,Aishwarya,Aishwarya@mycollege.in,CH
1401CH76,Rajat,Rajat@mycollege.in,CH
1401CH77,Rituraj,Rituraj@mycollege.in,CH
1401CH78,Naman,Naman@mycollege.in,CH
1401CH79,Mukesh,Mukesh@mycollege.in,CH
1401CH80,Roshan,Roshan@mycollege.in,CH
1401CH81,Nandini,Nandini@mycollege.in,CH
1401CH82,Rashmi,Rashmi@mycollege.in,CH
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in,CH
1401CH84,Kriti,Kriti@mycollege.in,CH
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in,EC
1401EC45,Nishtha,Nishtha@mycollege.in,EC
1401EC46,Dilip,Dilip@mycollege.in,EC
1401EC47,Ramanakanth,Ramanakanth@mycollege.in,EC
1401EC48,Durgesh,Durgesh@mycollege.in,EC
1401EC49,Dipa,Dipa@mycollege.in,EC
1401EC50,Rohith,Rohith@mycollege.in,EC
1401EC51,Jagadeesh,Jagadeesh@mycollege.in,EC
