Roll,Name,Email,Branch
1401MT01,Mairaz,Mairaz@mycollege.in,MT
1401MT02,Abhilasha,Abhilasha@mycollege.in,MT
1401MT03,Mritunjay,Mritunjay@mycollege.in,MT
1401MT04,Mudit,Mudit@mycollege.in,MT
1401MT05,Mubasshira,Mubasshira@mycollege.in,MT
1401MT06,Goldy,Goldy@mycollege.in,MT
1401MT07,Monish,Monish@mycollege.in,MT
1401MT08,Moosvi,Moosvi@mycollege.in,MT
1401MT09,Fariya,Fariya@mycollege.in,MT
1401MT10,Toshit,Toshit@mycollege.in,MT
1401MT11,Kanha,Kanha@mycollege.in,MT
1401MT12,Khalid,Khalid@mycollege.in,MT
1401MT13,Kaushiki,Kaushiki@mycollege.in,MT
1401MT14,Elamathi,Elamathi@mycollege.in,MT
1401MT15,Vasundhara,Vasundhara@mycollege.in,MT
1401MT16,Kandarp,Kandarp@mycollege.in,MT
1401MT17,Noopur,Noopur@mycollege.in,MT
1401MT18,Suchita,Suchita@mycollege.in,MT
1401MT19,Sumaiya,Sumaiya@mycollege.in,MT
1401MT20,Himanshi,Himanshi@mycollege.in,MT
1401MT21,Ibrahim,Ibrahim@mycollege.in,MT
1401MT22,Jagriti,Jagriti@mycollege.in,MT
1401MT23,Khansa,Khansa@mycollege.in,MT
1401MT24,Kunaal,Kunaal@mycollege.in,MT
1401MT25,Ishwa,Ishwa@mycollege.in,MT
1401MT26,Joshika,Joshika@mycollege.in,MT
1401MT27,Sawan,Sawan@mycollege.in,MT
1401MT28,Priyesh,Priyesh@mycollege.in,MT
1401MT29,Priyal,Priyal@mycollege.in,MT
1401MT30,Pradium,Pradium@mycollege.in,MT
1401MT31,Omhari,Omhari@mycollege.in,MT
1401MT32,Pranidhi,Pranidhi@mycollege.in,MT
1401MT33,Leena,Leena@mycollege.in,MT
1401MT34,Harshada,Harshada@mycollege.in,MT
1401MT35,Prathmesh,Prathmesh@mycollege.in,MT
1401MT36,Ritank,Ritank@mycollege.in,MT
1401MT37,Rishit,Rishit@mycollege.in,MT
1401MT38,Meenu,Meenu@mycollege.in,MT
1401MT39,Ranjan,Ranjan@mycollege.in,MT
1401MT40,Shukant,Shukant@mycollege.in,MT
1401MT41,Jashveer,Jashveer@mycollege.in,MT
1401MT42,Nargis,Nargis@mycollege.in,MT
1401MT43,Shreyans,Shreyans@mycollege.in,MT
1401MT44,Manaswini,Manaswini@mycollege.in,MT
1401MT45,Neelu,Neelu@mycollege.in,MT
1401MT46,Mukund,Mukund@mycollege.in,MT
