Roll,Name,Email,Branch
1401CS01,Arpita,Arpita@mycollege.in,CS
1401CS02,Divyanshi,Divyanshi@mycollege.in,CS
1401CS03,Yogesh,Yogesh@mycollege.in,CS
1401CS04,Deepika,Deepika@mycollege.in,CS
1401CS05,Astha,Astha@mycollege.in,CS
1401CS06,Sanjay,Sanjay@mycollege.in,CS
1401CS07,Mahek,Mahek@mycollege.in,CS
1401CS08,Narendra,Narendra@mycollege.in,CS
1401CS09,Ekta,Ekta@mycollege.in,CS
1401CS10,Adil,Adil@mycollege.in,CS
1401CS11,Ritesh,Ritesh@mycollege.in,CS
1401CS12,Bhumika,Bhumika@mycollege.in,CS
1401CS13,Samriddhi,Samriddhi@mycollege.in,CS
1401CS14,Anmol,Anmol@mycollege.in,CS
1401CS15,Aayushi,Aayushi@mycollege.in,CS
1401CS16,Akshay,Akshay@mycollege.in,CS
1401CS17,Shekhar,Shekhar@mycollege.in,CS
1401CS18,Amisha,Amisha@mycollege.in,CS
1401CS19,Amrita,Amrita@mycollege.in,CS
1401CS20,Sekhar,Sekhar@mycollege.in,CS
1401CS21,Kundalik,Kundalik@mycollege.in,CS
1401CS22,Durga,Durga@mycollege.in,CS
1401CS23,Apurva,Apurva@mycollege.in,CS
1401CS24,Alka,Alka@mycollege.in,CS
1401CS25,Indora,Indora@mycollege.in,CS
1401CS26,Aqsa,Aqsa@mycollege.in,CS
1401CS27,Anwar,Anwar@mycollege.in,CS
1401CS28,Apratim,Apratim@mycollege.in,CS
1401CS29,Hasni,Hasni@mycollege.in,CS
1401CS30,Dalia,Dalia@mycollege.in,CS
1401CS31,Aadharsh,Aadharsh@mycollege.in,CS
1401CS32,Amarnath,Amarnath@mycollege.in,CS
1401CS33,Bramoni,Bramoni@mycollege.in,CS
1401CS34,Nethaji,Nethaji@mycollege.in,CS
1401CS35,Chetna,Chetna@mycollege.in,CS
1401CS36,Aastha,Aastha@mycollege.in,CS
1401CS37,Aakriti,Aakriti@mycollege.in,CS
1401CS38,Abhyuday,Abhyuday@mycollege.in,CS
1401CS39,Akarsh,Akarsh@mycollege.in,CS
1401CS40,Navneet,Navneet@mycollege.in,CS
1401CS41,Om,Om@mycollege.in,CS
1401CS42,Swapnil,Swapnil@mycollege.in,CS
1401CS43,Akhil,Akhil@mycollege.in,CS
1401CS44,Madhav,Madhav@mycollege.in,CS
1401CS45,Divyam,Divyam@mycollege.in,CS
1401CS46,Kirti,Kirti@mycollege.in,CS
