Roll,Name,Email,Branch
1401CH73,Mahi,Mahi@mycollege.in,CH
1401CH74,Kanika,Kanika@mycollege.in,CH
1401CH75,Aishwarya,Aishwarya@mycollege.in,CH
1401CH76,Rajat,Rajat@mycollege.in,CH
1401CH77,Rituraj,Rituraj@mycollege.in,CH
1401CH78,Naman,Naman@mycollege.in,CH
1401CH79,Mukesh,Mukesh@mycollege.in,CH
1401CH80,Roshan,Roshan@mycollege.in,CH
1401CH81,Nandini,Nandini@mycollege.in,CH
1401CH82,Rashmi,Rashmi@mycollege.in,CH
1401CS73,Divyanshu,Divyanshu@mycollege.in,CS
1401CS74,Jaswant,Jaswant@mycollege.in,CS
1401CS75,Hemanshu,Hemanshu@mycollege.in,CS
1401CS76,Bhoopendra,Bhoopendra@mycollege.in,CS
1401CS77,Bhawana,Bhawana@mycollege.in,CS
1401CS78,Divakar,Divakar@mycollege.in,CS
1401CS79,Dimpal,Dimpal@mycollege.in,CS
1401CS80,Shrestha,Shrestha@mycollege.in,CS
1401CS81,Shivanshi,Shivanshi@mycollege.in,CS
1401MC63,Aaryan,Aaryan@mycollege.in,MC
1401MC64,Manas,Manas@mycollege.in,MC
1401MC65,Surbhi,Surbhi@mycollege.in,MC
1401MC66,Deepshikha,Deepshikha@mycollege.in,MC
1401MC67,Amar,Amar@mycollege.in,MC
1401MC68,Anuj,Anuj@mycollege.in,MC
1401MC69,Siddhesh,Siddhesh@mycollege.in,MC
1401MC70,Venkata,Venkata@mycollege.in,MC
1401MC71,Renu,Renu@mycollege.in,MC
1401MM63,Asad,Asad@mycollege.in,MM
1401MM64,Asthana,Asthana@mycollege.in,MM
1401MM65,Asmita,Asmita@mycollege.in,MM
1401MM66,Ashal,Ashal@mycollege.in,MM
1401MM67,Zeal,Zeal@mycollege.in,MM
1401MM68,Areeb,Areeb@mycollege.in,MM
1401MM69,Archita,Archita@mycollege.in,MM
1401MM70,Archi,Archi@mycollege.in,MM
1401MM71,Arish,Arish@mycollege.in,MM
1401MT62,Prasun,Prasun@mycollege.in,MT
1401MT63,Prakharendra,Prakharendra@mycollege.in,MT
1401MT64,Priyamvada,Priyamvada@mycollege.in,MT
1401MT65,Rajneesh,Rajneesh@mycollege.in,MT
1401MT66,Kausar,Kausar@mycollege.in,MT
1401MT67,Rouby,Rouby@mycollege.in,MT
1401MT68,Sanket,Sanket@mycollege.in,MT
1401MT69,Hari,Hari@mycollege.in,MT
1401MT70,Saumile,Saumile@mycollege.in,MT
